from_store,to_store,product_id,qty,cost,reason_codes
151,183,769,0.08,0.24,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
151,194,118,5.23,15.7,"['excess_inventory_at_source', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
154,18,775,0.03,0.09,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
154,29,691,4.48,13.45,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
154,29,775,1.01,3.02,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
154,46,567,0.77,2.3,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
154,118,426,0.69,2.06,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
154,131,567,1.52,4.57,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
154,131,631,0.47,1.42,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
154,134,453,1.82,5.47,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
154,147,567,0.65,1.96,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
154,181,296,2.42,7.27,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
154,182,70,0.4,1.21,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
154,187,691,4.13,12.38,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
154,194,77,0.29,0.86,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
181,1,843,0.24,0.72,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
181,29,118,2.01,6.03,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
181,118,843,0.73,2.18,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
181,131,207,1.22,3.67,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
181,134,481,1.26,3.77,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
182,18,190,0.38,1.15,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
182,118,118,5.26,15.79,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
182,131,631,0.67,2.0,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
182,145,291,3.06,9.18,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
182,183,600,1.3,3.9,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
182,194,71,1.91,5.74,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
182,194,116,0.9,2.7,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
182,196,116,2.26,6.78,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
183,1,76,0.99,2.98,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
183,29,116,0.55,1.64,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
183,29,631,1.94,5.81,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
183,145,578,0.72,2.17,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
183,187,345,0.21,0.64,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
187,29,118,0.94,2.82,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
187,46,4,6.97,20.92,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
187,46,119,1.04,3.13,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
187,147,119,1.21,3.64,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
188,29,635,2.73,8.19,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
188,29,775,0.19,0.56,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
188,46,119,1.6,4.81,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
188,154,635,1.67,5.01,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
188,181,635,0.08,0.24,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
188,183,775,4.41,13.24,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
194,151,201,1.13,3.38,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
194,182,387,0.24,0.72,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
194,196,41,0.18,0.53,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
194,196,631,1.96,5.87,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
196,1,58,1.69,5.06,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
196,1,76,0.22,0.65,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
196,74,26,1.37,4.12,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
196,74,291,0.97,2.9,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
196,118,426,0.79,2.37,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
196,134,26,2.73,8.18,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
196,134,481,1.8,5.39,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
196,145,58,0.51,1.53,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
196,147,119,5.09,15.27,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
196,181,76,9.4,28.19,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
196,182,76,0.25,0.74,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
