from_store,to_store,product_id,qty,cost,reason_codes
1,60,489,1.31,3.92,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
18,60,486,0.38,1.13,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
18,131,635,2.43,7.29,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'safety_stock_violation_prevented', 'high_delay_probability', 'transport_cost_acceptable']"
18,134,481,0.06,0.18,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
18,145,118,2.99,8.97,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
18,145,363,0.49,1.47,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
18,147,567,0.93,2.8,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
18,147,740,0.06,0.18,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
18,182,117,13.43,40.29,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
18,196,41,0.85,2.54,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
29,18,190,1.81,5.44,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
29,182,296,0.1,0.31,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
29,196,567,0.9,2.7,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,1,76,4.27,12.81,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,29,117,4.82,14.47,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,60,740,3.38,10.13,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,74,291,0.35,1.04,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,118,843,1.09,3.28,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,131,291,1.37,4.1,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,131,292,2.0,6.0,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,134,76,1.29,3.88,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,134,631,0.11,0.34,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,145,774,2.3,6.91,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,145,804,0.37,1.11,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
46,147,740,0.54,1.63,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,1,118,3.21,9.64,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,18,666,2.2,6.59,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,46,119,2.82,8.46,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,46,118,0.12,0.37,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,46,666,0.28,0.85,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,131,118,1.45,4.35,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,131,769,0.23,0.69,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,134,481,2.42,7.25,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,147,567,0.47,1.4,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,151,600,1.52,4.55,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,151,666,2.03,6.09,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,151,481,0.59,1.77,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,188,769,3.06,9.18,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,188,774,0.11,0.32,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
60,194,118,0.02,0.06,"['excess_inventory_at_source', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
60,196,118,1.58,4.75,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
74,29,118,0.03,0.09,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
74,46,363,0.35,1.04,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
74,147,691,3.46,10.37,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
74,182,292,3.59,10.77,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
74,188,691,12.34,37.02,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
118,29,116,2.51,7.52,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
118,60,76,0.14,0.42,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
118,134,631,0.92,2.76,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
118,151,635,0.43,1.29,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
118,181,635,1.45,4.34,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
118,182,76,0.92,2.75,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
118,194,76,0.28,0.84,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
131,74,290,3.37,10.12,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
131,118,19,2.12,6.37,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
131,147,119,1.14,3.42,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
131,147,290,0.63,1.9,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
131,182,76,6.02,18.06,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
131,188,682,2.71,8.12,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
134,1,810,0.48,1.44,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
134,29,118,2.21,6.64,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
134,29,635,0.81,2.42,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
134,145,635,0.14,0.41,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
134,151,796,5.46,16.37,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
134,154,118,0.31,0.93,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
145,46,119,2.43,7.28,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
145,131,567,1.18,3.54,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
145,131,686,0.43,1.28,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
145,131,345,0.7,2.1,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
145,183,119,4.18,12.55,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
145,188,567,0.9,2.71,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
145,194,76,2.39,7.17,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
147,29,117,0.07,0.2,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
147,60,682,1.98,5.95,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
147,131,769,1.37,4.12,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
147,145,4,2.25,6.75,"['projected_stockout_at_destination', 'excess_inventory_at_source', 'safety_stock_violation_prevented', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
147,183,117,7.43,22.28,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
151,118,118,1.46,4.39,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
151,118,292,2.22,6.65,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
151,131,769,1.43,4.29,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
151,145,118,0.12,0.35,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
151,145,292,0.03,0.08,"['excess_inventory_at_source', 'high_delay_probability', 'transport_cost_acceptable']"
151,147,118,0.33,1.0,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
151,154,118,2.13,6.38,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
151,183,118,0.22,0.65,"['excess_inventory_at_source', 'high_demand_variability', 'high_delay_probability', 'transport_cost_acceptable']"
